username,followers,following,posts,likes,account_age_days,bio_length,username_length,profile_picture,verified,follower_following_ratio,comment,word_count,emoji_count,hashtag_count,url_present,spam_keyword_count,uppercase_count,duplicate_comment,mentions_count,promotional_keyword_count,post_frequency,login_frequency,message_frequency,activity_score,spam
user_000,82,1412,0,4467,32,26,8,0,0,0.0581,crypto,1,4,6,1,1,0,1,0,3,5,7,30,65,1
user_001,72,2128,10,2278,54,150,8,1,0,0.0338,crypto,1,0,2,1,1,5,1,3,3,21,9,20,28,1
user_002,44,1337,1,355,46,67,8,0,0,0.0329,free offer,2,3,8,1,1,0,1,3,4,5,18,38,81,1
user_003,47,2075,1,827,30,59,8,1,0,0.0227,earn money,2,2,7,1,1,5,1,2,4,10,12,46,27,1
user_004,90,1084,9,3108,69,118,8,0,0,0.083,crypto,1,5,8,1,1,1,1,5,3,20,2,30,5,1
user_005,52,2693,1,3758,41,101,8,1,0,0.0193,giveaway,1,2,2,1,1,1,1,5,3,35,18,34,96,1
user_006,75,3771,5,898,66,12,8,0,0,0.0199,giveaway,1,5,2,1,1,5,1,3,5,38,3,50,49,1
user_007,60,4834,4,2786,88,68,8,0,0,0.0124,investment,1,2,6,1,1,1,1,3,2,0,9,65,98,1
user_008,14,2944,10,4418,26,41,8,1,0,0.0048,investment,1,4,0,1,1,4,1,2,3,31,1,15,47,1
user_009,40,2461,0,4363,11,17,8,1,0,0.0163,giveaway,1,1,2,1,1,5,1,3,2,35,6,34,68,1
user_010,55,2235,8,3059,89,102,8,1,0,0.0246,dm now,2,4,7,1,1,0,1,1,3,14,3,44,3,1
user_011,30,2304,0,257,81,17,8,1,0,0.013,earn money,2,2,1,1,1,4,1,1,2,17,16,28,70,1
user_012,74,4372,3,3531,53,24,8,0,0,0.0169,dm now,2,3,6,1,1,3,1,5,3,3,4,8,52,1
user_013,14,2536,3,2281,58,46,8,1,0,0.0055,giveaway,1,1,1,1,1,3,1,4,3,6,2,84,70,1
user_014,12,2436,2,1348,62,15,8,0,0,0.0049,free offer,2,0,6,1,1,2,1,3,3,18,14,90,94,1
user_015,72,4486,2,499,28,138,8,0,0,0.016,giveaway,1,2,0,1,1,0,1,4,2,30,17,68,21,1
user_016,66,1156,2,4666,9,30,8,1,0,0.0571,earn money,2,4,9,1,1,0,1,4,3,5,14,85,75,1
user_017,41,2636,3,1072,41,101,8,1,0,0.0156,crypto,1,5,4,1,1,3,1,2,3,48,3,2,59,1
user_018,73,1319,1,563,65,89,8,0,0,0.0553,investment,1,1,5,1,1,2,1,1,4,28,18,91,39,1
user_019,84,4833,0,945,39,67,8,1,0,0.0174,crypto,1,0,8,1,1,1,1,2,2,18,20,27,92,1
user_020,88,2662,8,2266,7,108,8,0,0,0.0331,free offer,2,0,5,1,1,1,1,5,2,16,6,95,57,1
user_021,55,579,1,4771,20,94,8,1,0,0.095,earn money,2,1,6,1,1,1,1,0,6,19,12,6,46,1
user_022,32,1342,5,1331,53,60,8,1,0,0.0238,dm now,2,1,6,1,1,0,1,1,6,47,11,53,86,1
user_023,32,2685,2,1822,14,120,8,1,0,0.0119,dm now,2,3,5,1,1,2,1,1,5,14,1,85,25,1
user_024,36,1068,4,226,66,84,8,1,0,0.0337,click link,2,2,2,1,1,4,1,2,5,2,4,77,56,1
user_025,41,4074,9,363,50,65,8,0,0,0.0101,investment,1,3,0,1,1,4,1,4,6,43,7,47,56,1
